pid,name
nm0000619,Tim Roth
nm0001625,Amanda Plummer
nm0522503,Laura Lovelace
nm0000237,John Travolta
nm0000168,Samuel L. Jackson
nm0482851,Phil LaMarr
nm0001844,Frank Whaley
nm0824882,Burr Steers
nm0000246,Bruce Willis
nm0000609,Ving Rhames
nm0129538,Paul Calderon
nm0302345,Bronagh Gallagher
nm0000275,Rosanna Arquette
nm0000655,Eric Stoltz
nm0000235,Uma Thurman
nm0387533,Jerome Patrick Hoban
nm0318402,Michael Gilden
nm0794967,Gary Shorelle
nm0341601,Susan Griffiths
nm0163916,Eric Clark
nm0683334,Joseph Pilato
nm0662085,Brad Blumenthal
nm0000114,Steve Buscemi
nm0504147,Lorelei Leslie
nm0803238,Emil Sitka
nm0384936,Brenda Hillhouse
nm0000686,Christopher Walken
nm0511323,Chandler Lindauer
nm0792051,Sy Sher
nm0751936,Robert Ruth
nm0877822,Rich Turner
nm0427484,Angela Jones
nm0086783,Don Blakely
nm0020340,Carl Allen
nm0210218,Maria de Medeiros
nm0555462,Karen Maruyama
nm0004980,Kathy Griffin
nm0884395,Venessia Valentino
nm0443344,Linda Kaye
nm0924261,Duane Whitaker
nm0338886,Peter Greene
nm0382512,Stephen Hibbert
nm0000793,Alexis Arquette
nm0000233,Quentin Tarantino
nm0000172,Harvey Keitel
nm0842140,Julia Sweeney
nm0004744,Lawrence Bender
nm0001466,Sergio Leone
nm0898812,Luciano Vincenzoni
nm0001466,Sergio Leone
nm0408488,Agenore Incrocci
nm0769249,Furio Scarpelli
nm0898812,Luciano Vincenzoni
nm0001466,Sergio Leone
nm0908919,Eli Wallach
nm0000142,Clint Eastwood
nm0001812,Lee Van Cleef
nm0321294,Aldo Giuffrè
nm0685559,Luigi Pistilli
nm0711502,Rada Rassimov
nm0677654,Enzo Petito
nm0769116,Claudio Scarchilli
nm0058384,John Bartha
nm0520859,Livio Lorenzon
nm0142804,Antonio Casale
nm0769118,Sandro Scarchilli
nm0824934,Benito Stefanelli
nm0637064,Angelo Novi
nm0143030,Antonio Casas
nm0759757,Aldo Sambrell
nm0612468,Al Mulock
nm0579155,Sergio Mendizábal
nm0590158,Antonio Molino Rojo
nm0696468,Lorenzo Robledo
nm0103828,Mario Brega
nm0001392,Peter Jackson
nm0866058,J.R.R. Tolkien
nm0909638,Fran Walsh
nm0101991,Philippa Boyens
nm0001392,Peter Jackson
nm0397102,Alan Howard
nm0032370,Noel Appleby
nm0000276,Sean Astin
nm1019674,Sala Baker
nm0000293,Sean Bean
nm0000949,Cate Blanchett
nm0089217,Orlando Bloom
nm0101710,Billy Boyd
nm0190744,Marton Csokas
nm1104283,Megan Edwards
nm1096480,Michael Elsworth
nm0272527,Mark Ferguson
nm0000453,Ian Holm
nm0000489,Christopher Lee
nm0538692,Lawrence Makoare
nm0785227,Andy Serkis
nm1098595,Brent McIntyre
nm0005212,Ian McKellen
nm1013159,Peter McKenzie
nm0572867,Sarah McLeod
nm0597480,Dominic Monaghan
nm0001557,Viggo Mortensen
nm0612786,Ian Mune
nm0662164,Craig Parker
nm0722397,Cameron Rhodes
nm0722636,John Rhys-Davies
nm0761809,Martyn Sanderson
nm0801625,Harry Sinclair
nm0000239,Liv Tyler
nm0915750,David Weatherley
nm0915989,Hugo Weaving
nm0000704,Elijah Wood
nm1113484,Victoria Beynon-Cole
nm1101755,Lee Hartley
nm1114489,Sam La Hood
nm0834115,Chris Streeter
nm1180112,Jonathan Jordan
nm1114479,Semi Kuresa
nm0880770,Clinton Ulyatt
nm1115767,Paul Bryson
nm1114380,Lance Fabian Kemp
nm1115930,Jono Manks
nm1862062,Ben Price
nm1115856,Phil Grieve
nm0413309,Billy Jackson
nm1116175,Katie Jackson
nm0000399,David Fincher
nm0657333,Chuck Palahniuk
nm0880243,Jim Uhls
nm0001570,Edward Norton
nm0000093,Brad Pitt
nm0001533,Meat Loaf
nm0340260,Zach Grenier
nm0037118,Richmond Arquette
nm0028625,David Andrews
nm0536574,George Maguire
nm0094163,Eugenie Bondurant
nm0000307,Helena Bonham Carter
nm0127680,Christina Cabot
nm0173257,Sydney 'Big Dawg' Colston
nm0802019,Rachel Singer
nm0188728,Christie Cronenweth
nm0212498,Tim DeZarn
nm0125653,Ezra Buzzington
nm0236148,Dierdre Downing-Jackson
nm0827307,Bob Stephenson
nm0217301,Charlie Dell
nm0487300,Rob Lanza
nm0807900,David Lee Smith
nm0564697,Holt McCallany
nm0084385,Joel Bissonnette
nm0047248,Eion Bailey
nm0592030,Evan Mirand
nm0733025,Robby Robinson
nm0064187,Lou Beatty Jr.
nm0331699,Thom Gossom Jr.
nm0081050,Valerie Bickford
nm0001467,Jared Leto
nm0406203,Peter Iacangelo
nm0161893,Carl Ciarfalio
nm0089742,Stuart Blumberg
nm0670565,Todd Peirce
nm0280051,Mark Fite
nm0935616,Matt Winston
nm0453538,Joon Kim
nm0600934,Bennie Moore
nm0761078,Lauren Sanchez
nm0573715,Pat McNamara
nm0515307,Tyrone R. Livingston
nm0557749,Owen Masterson
nm0858710,David Jean Thomas
nm0135899,Paul Carafotes
nm0276211,Christopher John Fields
nm0099852,Anderson Bourell
nm0521025,Scotch Ellis Loring
nm0928795,Michael Shamus Wiles
nm0138864,Andi Carnick
nm0468567,Edward Kowalczyk
nm0855657,Leonard Termo
nm0703013,Van Quattro
nm0715076,Markus Redmond
nm0320752,Michael Girardin
nm0000709,Robert Zemeckis
nm0343165,Winston Groom
nm0744839,Eric Roth
nm0000158,Tom Hanks
nm0931508,Rebecca Williams
nm0000398,Sally Field
nm0402011,Michael Conner Humphreys
nm0381041,Harold G. Herthum
nm0446404,George Kelly
nm0672225,Bob Penny
nm0709615,John Randall
nm0027402,Sam Anderson
nm0602071,Margo Moorer
nm0854295,Ione M. Telech
nm0780410,Christine Seabrook
nm0941621,John Worsham
nm0229930,Peter Dobson
nm0266441,Siobhan Fallon Hogan
