mid,gid
tt5116302,8
tt5116302,9
tt5116302,13
tt0317705,3
tt0317705,1
tt0317705,2
tt0317705,9
tt1454468,8
tt1454468,21
tt1454468,24
tt0405094,8
tt0405094,17
tt0405094,24
tt0077651,14
tt0077651,24
tt1255953,8
tt1255953,17
tt1255953,25
tt0936501,1
tt0936501,24
tt0319061,2
tt0319061,8
tt0319061,10
tt0319061,20
tt0365748,5
tt0365748,14
tt2582782,1
tt2582782,6
tt2582782,8
tt2582782,24
tt2582782,26
tt0091251,8
tt0091251,25
tt2582846,8
tt2582846,20
tt0108550,8
tt1270798,1
tt1270798,2
tt1270798,21
tt0266543,3
tt0266543,2
tt0266543,5
tt0266543,9
tt0289043,8
tt0289043,14
tt0289043,21
tt0289043,24
tt0106977,1
tt0106977,6
tt0106977,8
tt0106977,17
tt0106977,24
tt0425112,1
tt0425112,5
tt0425112,17
tt0425112,24
tt1979320,4
tt1979320,8
tt1979320,22
tt0175880,8
tt0119698,3
tt0119698,2
tt0119698,10
tt2106476,8
tt0047396,17
tt0047396,24
tt0112641,6
tt0112641,8
tt1408101,1
tt1408101,2
tt1408101,21
tt1323594,3
tt1323594,5
tt1323594,9
tt1323594,10
tt0100157,8
tt0100157,24
tt0090756,8
tt0090756,17
tt0090756,24
tt0054698,5
tt0054698,8
tt0054698,20
tt0353969,1
tt0353969,6
tt0353969,8
tt0353969,17
tt0353969,24
tt0071360,8
tt0071360,17
tt0071360,24
tt0075148,8
tt0075148,22
tt0079944,8
tt0079944,21
tt0454921,4
tt0454921,8
tt0103639,3
tt0103639,2
tt0103639,5
tt0103639,9
tt0103639,10
tt0103639,16
tt0103639,20
tt0104257,8
tt0104257,24
tt0119488,6
tt0119488,8
tt0119488,17
tt0119488,24
tt1049413,3
tt1049413,2
tt1049413,5
tt1049413,9
tt0033467,8
tt0033467,17
tt1170358,2
tt1170358,10
tt0086879,4
tt0086879,8
tt0086879,13
tt0086879,15
tt5362988,6
tt5362988,8
tt5362988,17
tt5362988,24
tt0052357,17
tt0052357,20
tt0052357,24
tt0910970,3
tt0910970,2
tt0910970,9
tt0910970,21
tt0047296,6
tt0047296,8
tt0047296,24
tt0057012,5
tt0075860,8
tt0075860,21
tt0083944,1
tt0083944,2
tt0198781,3
tt0198781,2
tt0198781,5
tt0198781,9
tt0198781,10
tt0097757,3
tt0097757,9
tt0097757,10
tt0097757,16
tt0097757,20
tt1187043,5
tt1187043,8
tt4034228,8
tt0790636,4
tt0790636,8
